Cable ID,Injected,Failed,Age_at_first_Fault,1km bins 
606,0,0,0,0-1000
607,0,0,0,0-1000
608,0,0,0,0-1000
609,0,0,0,4000-5000
610,1,0,0,0-1000
611,0,0,0,5000-max
612,0,0,0,3000-4000
613,0,0,0,1000-2000
614,0,0,0,0-1000
615,0,0,0,0-1000
616,0,0,0,0-1000
617,0,0,0,1000-2000
618,0,0,0,0-1000
619,0,0,0,0-1000
620,0,0,0,0-1000
621,0,0,0,3000-4000
622,0,0,0,0-1000
623,0,0,0,0-1000
624,0,0,0,5000-max
625,1,1,0,1000-2000
626,0,0,0,0-1000
627,0,0,0,0-1000
628,0,0,0,0-1000
629,0,0,0,0-1000
630,0,0,0,0-1000
631,0,0,0,1000-2000
632,0,0,0,3000-4000
633,0,0,0,1000-2000
634,0,0,0,1000-2000
635,0,0,0,0-1000
636,0,0,0,1000-2000
637,0,0,0,5000-max
638,0,1,35,0-1000
639,0,0,0,0-1000
640,0,0,0,0-1000
641,0,1,27,1000-2000
642,0,0,0,5000-max
643,0,0,0,1000-2000
644,0,0,0,0-1000
645,0,0,0,0-1000
646,0,0,0,0-1000
647,0,0,0,0-1000
648,0,0,0,1000-2000
649,0,1,30,0-1000
650,0,0,0,0-1000
651,0,0,0,0-1000
652,0,0,0,1000-2000
653,0,0,0,0-1000
654,0,0,0,5000-max
655,0,0,0,0-1000
656,0,0,0,0-1000
657,0,0,0,0-1000
658,0,0,0,0-1000
659,0,0,0,3000-4000
660,0,0,0,1000-2000
661,0,0,0,0-1000
662,0,0,0,1000-2000
663,0,0,0,1000-2000
664,0,0,0,0-1000
665,0,0,0,0-1000
666,0,0,0,0-1000
667,0,0,0,0-1000
668,0,0,0,0-1000
669,0,0,0,0-1000
670,0,0,0,0-1000
671,0,0,0,0-1000
672,0,1,31,1000-2000
673,0,0,0,0-1000
674,0,0,0,1000-2000
675,0,0,0,1000-2000
676,0,0,0,0-1000
677,0,0,0,2000-3000
678,0,0,0,5000-max
679,1,0,0,0-1000
680,0,0,0,0-1000
681,0,0,0,0-1000
682,0,0,0,0-1000
683,0,0,0,0-1000
684,0,0,0,0-1000
685,0,0,0,3000-4000
686,0,0,0,1000-2000
687,0,0,0,1000-2000
688,0,0,0,0-1000
689,0,1,12,1000-2000
690,0,0,0,0-1000
691,0,0,0,0-1000
692,0,0,0,4000-5000
693,0,0,0,0-1000
694,0,0,0,0-1000
695,0,0,0,0-1000
696,0,0,0,0-1000
697,0,0,0,0-1000
698,0,1,38,0-1000
699,0,0,0,2000-3000
700,0,0,0,0-1000
701,0,0,0,0-1000
702,0,0,0,0-1000
703,0,0,0,0-1000
704,0,0,0,0-1000
705,0,0,0,0-1000
706,0,0,0,5000-max
707,0,0,0,0-1000
708,0,0,0,0-1000
709,0,0,0,0-1000
710,0,0,0,0-1000
711,0,0,0,0-1000
712,0,0,0,5000-max
713,0,1,40,0-1000
714,0,0,0,0-1000
715,0,0,0,0-1000
716,0,0,0,0-1000
717,0,0,0,0-1000
718,0,0,0,0-1000
719,0,1,39,0-1000
720,0,0,0,0-1000
721,0,0,0,0-1000
722,1,0,0,5000-max
723,0,0,0,0-1000
724,0,0,0,1000-2000
725,0,0,0,0-1000
726,0,0,0,0-1000
727,1,0,0,1000-2000
728,0,0,0,0-1000
729,0,0,0,0-1000
730,1,0,0,0-1000
